"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J1";"USB_A_CNCTech_1001-011-01101_Horizontal";1;"USB_A";;;
2;"J2";"DSUB-9_Female_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm";1;"DE9_Receptacle";;;
3;"R3";"R_0201_0603Metric";1;"60";;;
4;"D3";"LED_0201_0603Metric";1;"LED";;;
5;"U2";"TO-263-2";1;"LM317_TO-263";;;
6;"R2";"R_0201_0603Metric";1;"240";;;
7;"R1";"R_0201_0603Metric";1;"400";;;
8;"D2,D1";"D_DO-41_SOD81_P10.16mm_Horizontal";2;"1N4002";;;
9;"C6";"C_0201_0603Metric";1;"1uF";;;
10;"C5,C2";"C_0201_0603Metric";2;"10uF";;;
11;"C4";"C_0201_0603Metric";1;"0.1uF";;;
12;"C3";"C_0201_0603Metric";1;"100nF";;;
13;"C1";"C_0201_0603Metric";1;"0.1u";;;
14;"U1";"SSOP-28_5.3x10.2mm_P0.65mm";1;"FT232RL";;;
